Architecture,Units,Run,Accuracy(%),BestValAccuracy(%),TestLoss,EpochsTrained,Channels,InputColumns
LTC-8,8,4,86.50000095367432,89.99999761581421,0.33649447560310364,488,3ch,"Thumb,Middle,Pinky"
LTC-8,8,5,87.99999952316284,89.99999761581421,0.3166710436344147,754,3ch,"Thumb,Middle,Pinky"
LTC-8,8,6,91.00000262260437,94.49999928474426,0.3817512094974518,1447,3ch,"Thumb,Middle,Pinky"
LTC-8,8,7,90.49999713897705,93.50000023841858,0.4782654047012329,753,3ch,"Thumb,Middle,Pinky"
LTC-8,8,8,89.49999809265137,91.00000262260437,0.3309686779975891,804,3ch,"Thumb,Middle,Pinky"
LTC-8,8,9,93.00000071525574,90.49999713897705,0.22538909316062927,1020,3ch,"Thumb,Middle,Pinky"
LTC-8,8,10,87.5,89.49999809265137,0.3252463936805725,633,3ch,"Thumb,Middle,Pinky"
LTC-16,16,1,85.50000190734863,89.99999761581421,0.3252117931842804,426,3ch,"Thumb,Middle,Pinky"
LTC-16,16,2,87.00000047683716,89.99999761581421,0.3906150162220001,418,3ch,"Thumb,Middle,Pinky"
LTC-16,16,3,91.50000214576721,93.99999976158142,0.3942456841468811,1036,3ch,"Thumb,Middle,Pinky"
LTC-16,16,4,88.99999856948853,92.00000166893005,0.3861132562160492,498,3ch,"Thumb,Middle,Pinky"
LTC-16,16,5,90.49999713897705,92.00000166893005,0.3939620852470398,686,3ch,"Thumb,Middle,Pinky"
LTC-16,16,6,89.99999761581421,93.50000023841858,0.33347779512405396,465,3ch,"Thumb,Middle,Pinky"
LTC-16,16,7,92.00000166893005,92.00000166893005,0.3793379068374634,573,3ch,"Thumb,Middle,Pinky"
LTC-16,16,8,86.50000095367432,89.99999761581421,0.33545809984207153,456,3ch,"Thumb,Middle,Pinky"
LTC-16,16,9,93.00000071525574,94.49999928474426,0.4823368787765503,698,3ch,"Thumb,Middle,Pinky"
LTC-16,16,10,92.5000011920929,93.00000071525574,0.2101099193096161,694,3ch,"Thumb,Middle,Pinky"
