Model,Samples_Per_Class,Run,Accuracy
LSTM-8,3,4,74.50000047683716
LSTM-8,3,5,66.50000214576721
LSTM-8,3,6,75.0
LSTM-8,3,7,69.49999928474426
LSTM-8,3,8,63.999998569488525
LSTM-8,3,9,65.49999713897705
LSTM-8,3,10,72.50000238418579
LTC-4,60,1,86.50000095367432
LTC-4,60,2,74.00000095367432
LTC-4,60,3,91.00000262260437
LTC-4,60,4,85.50000190734863
LTC-4,60,5,86.50000095367432
LTC-4,60,6,84.50000286102295
LTC-4,60,7,88.99999856948853
LTC-4,60,8,89.99999761581421
LTC-4,60,9,91.00000262260437
LTC-4,60,10,83.99999737739563
LTC-4,30,1,85.00000238418579
LTC-4,30,2,85.00000238418579
LTC-4,30,3,80.0000011920929
LTC-4,30,4,86.00000143051147
LTC-4,30,5,83.99999737739563
LTC-4,30,6,77.99999713897705
LTC-4,30,7,85.50000190734863
LTC-4,30,8,82.99999833106995
LTC-4,30,9,88.49999904632568
LTC-4,30,10,81.49999976158142
LTC-4,15,1,86.50000095367432
LTC-4,15,2,69.49999928474426
LTC-4,15,3,76.99999809265137
LTC-4,15,4,74.00000095367432
LTC-4,15,5,83.99999737739563
LTC-4,15,6,75.0
LTC-4,15,7,77.99999713897705
LTC-4,15,8,75.99999904632568
LTC-4,15,9,73.00000190734863
LTC-4,15,10,79.50000166893005
LTC-4,6,1,77.99999713897705
LTC-4,6,2,75.0
LTC-4,6,3,77.99999713897705
LTC-4,6,4,79.50000166893005
LTC-4,6,5,77.99999713897705
LTC-4,6,6,68.99999976158142
LTC-4,6,7,75.99999904632568
LTC-4,6,8,79.50000166893005
LTC-4,6,9,75.49999952316284
LTC-4,6,10,72.00000286102295
LTC-4,3,1,66.50000214576721
LTC-4,3,2,74.50000047683716
LTC-4,3,3,73.50000143051147
LTC-4,3,4,72.00000286102295
LTC-4,3,5,73.00000190734863
LTC-4,3,6,68.00000071525574
LTC-4,3,7,71.49999737739563
LTC-4,3,8,81.99999928474426
LTC-4,3,9,69.9999988079071
LTC-4,3,10,68.50000023841858
