Channel,ChannelLabel,Model,Samples_Per_Class,Run,MinSelectedSamplesPerClass,TotalSelectedTrainingSamples,TrainableParams,Accuracy,MacroF1,TestLoss,BestValAccuracy,BestValLoss,EpochsTrained,InputColumns
3ch,3 channel,LTC-4,20,6,20,200,86,78.50000262260437,78.34653528363414,0.5172130465507507,81.49999976158142,0.4666692316532135,590,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,7,20,200,86,83.99999737739563,83.57711221489114,0.43515339493751526,79.00000214576721,0.4693351686000824,680,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,8,20,200,86,82.99999833106995,83.17720914896782,0.41276031732559204,81.49999976158142,0.5273447632789612,711,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,9,20,200,86,83.99999737739563,83.71373371373373,0.5887057781219482,86.50000095367432,0.39440521597862244,2000,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,20,10,20,200,86,76.49999856948853,76.22684107437419,0.46465864777565,81.99999928474426,0.5066845417022705,613,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,1,30,300,86,83.49999785423279,83.12951965017753,0.4120040833950043,85.50000190734863,0.42594456672668457,650,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,2,30,300,86,85.50000190734863,85.12808737880168,0.4805990159511566,83.99999737739563,0.6284283995628357,872,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,3,30,300,86,83.49999785423279,83.07972881049542,0.4235278367996216,86.00000143051147,0.4321134686470032,776,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,4,30,300,86,79.50000166893005,78.75273508424985,0.48943138122558594,80.0000011920929,0.5217451453208923,459,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,5,30,300,86,83.99999737739563,83.80541115853947,0.4008360803127289,83.99999737739563,0.30990543961524963,1330,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,6,30,300,86,81.99999928474426,81.85311203097957,0.49080055952072144,87.99999952316284,0.26938703656196594,1092,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,7,30,300,86,81.99999928474426,81.92554748674634,0.5340029001235962,82.4999988079071,0.5971372127532959,429,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,8,30,300,86,81.99999928474426,81.88528416384642,0.3852498233318329,83.49999785423279,0.4095126688480377,874,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,9,30,300,86,83.99999737739563,83.25129831471575,0.5268216133117676,85.50000190734863,0.32726016640663147,1270,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,30,10,30,300,86,74.00000095367432,72.68489052508961,0.5522011518478394,75.0,0.5601643323898315,394,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,1,40,400,86,85.50000190734863,85.33608250382514,0.5344728231430054,86.00000143051147,0.31026461720466614,605,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,2,40,400,86,84.50000286102295,83.89208672719126,0.37456923723220825,84.50000286102295,0.337149441242218,712,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,40,3,40,400,86,81.00000023841858,80.41492531013382,0.40047118067741394,82.4999988079071,0.5524152517318726,412,"Thumb,Middle,Pinky"
