Model,Samples_Per_Class,Run,Accuracy
LTC-8,15,1,71.66666388511658
LTC-8,15,2,73.33333492279053
LTC-8,15,3,78.33333611488342
LTC-8,15,4,78.33333611488342
LTC-8,15,5,78.33333611488342
LTC-8,15,6,78.33333611488342
LTC-8,15,7,81.66666626930237
LTC-8,15,8,64.99999761581421
LTC-8,15,9,76.66666507720947
LTC-8,15,10,75.0
LTC-8,6,1,69.9999988079071
LTC-8,6,2,71.66666388511658
LTC-8,6,3,58.33333134651184
LTC-8,6,4,51.66666507720947
LTC-8,6,5,56.66666626930237
LTC-8,6,6,61.666667461395264
LTC-8,6,7,63.333332538604736
LTC-8,6,8,44.999998807907104
LTC-8,6,9,71.66666388511658
LTC-8,6,10,58.33333134651184
LTC-8,3,1,31.666666269302368
LTC-8,3,2,56.66666626930237
LTC-8,3,3,68.33333373069763
LTC-8,3,4,58.33333134651184
LTC-8,3,5,34.99999940395355
LTC-8,3,6,36.666667461395264
LTC-8,3,7,55.000001192092896
LTC-8,3,8,26.66666805744171
LTC-8,3,9,53.33333611488342
LTC-8,3,10,50.0
