Model,Samples_Per_Class,Run,Accuracy
SimpleRNN-8,3,7,72.50000238418579
SimpleRNN-8,3,8,70.99999785423279
SimpleRNN-8,3,9,72.00000286102295
SimpleRNN-8,3,10,78.50000262260437
LSTM-8,60,1,93.00000071525574
LSTM-8,60,2,92.5000011920929
LSTM-8,60,3,96.49999737739563
LSTM-8,60,4,91.00000262260437
LSTM-8,60,5,93.50000023841858
LSTM-8,60,6,93.00000071525574
LSTM-8,60,7,92.00000166893005
LSTM-8,60,8,95.49999833106995
LSTM-8,60,9,90.49999713897705
LSTM-8,60,10,96.49999737739563
LSTM-8,30,1,88.49999904632568
LSTM-8,30,2,87.99999952316284
LSTM-8,30,3,91.00000262260437
LSTM-8,30,4,91.00000262260437
LSTM-8,30,5,91.50000214576721
LSTM-8,30,6,90.49999713897705
LSTM-8,30,7,92.5000011920929
LSTM-8,30,8,91.00000262260437
LSTM-8,30,9,90.49999713897705
LSTM-8,30,10,94.49999928474426
LSTM-8,15,1,89.49999809265137
LSTM-8,15,2,82.99999833106995
LSTM-8,15,3,86.50000095367432
LSTM-8,15,4,89.49999809265137
LSTM-8,15,5,88.99999856948853
LSTM-8,15,6,85.50000190734863
LSTM-8,15,7,86.50000095367432
LSTM-8,15,8,85.00000238418579
LSTM-8,15,9,87.00000047683716
LSTM-8,15,10,88.99999856948853
LSTM-8,6,1,86.00000143051147
LSTM-8,6,2,80.50000071525574
LSTM-8,6,3,75.99999904632568
LSTM-8,6,4,80.50000071525574
LSTM-8,6,5,80.0000011920929
LSTM-8,6,6,84.50000286102295
LSTM-8,6,7,78.50000262260437
LSTM-8,6,8,85.00000238418579
LSTM-8,6,9,75.99999904632568
LSTM-8,6,10,79.00000214576721
LSTM-8,3,1,68.50000023841858
LSTM-8,3,2,75.49999952316284
LSTM-8,3,3,68.99999976158142
LSTM-8,3,4,74.50000047683716
LSTM-8,3,5,84.50000286102295
LSTM-8,3,6,77.49999761581421
LSTM-8,3,7,81.00000023841858
LSTM-8,3,8,68.99999976158142
LSTM-8,3,9,68.00000071525574
LSTM-8,3,10,62.5
LTC-4,60,1,92.00000166893005
LTC-4,60,2,92.5000011920929
LTC-4,60,3,88.49999904632568
LTC-4,60,4,89.49999809265137
LTC-4,60,5,91.50000214576721
LTC-4,60,6,87.5
LTC-4,60,7,91.50000214576721
LTC-4,60,8,89.49999809265137
LTC-4,60,9,89.99999761581421
LTC-4,60,10,87.99999952316284
LTC-4,30,1,87.5
LTC-4,30,2,88.99999856948853
LTC-4,30,3,88.99999856948853
LTC-4,30,4,86.00000143051147
LTC-4,30,5,89.49999809265137
LTC-4,30,6,88.49999904632568
LTC-4,30,7,90.49999713897705
LTC-4,30,8,83.99999737739563
LTC-4,30,9,88.99999856948853
LTC-4,30,10,89.99999761581421
LTC-4,15,1,89.49999809265137
LTC-4,15,2,87.99999952316284
LTC-4,15,3,81.99999928474426
LTC-4,15,4,91.00000262260437
LTC-4,15,5,88.99999856948853
LTC-4,15,6,81.99999928474426
LTC-4,15,7,84.50000286102295
LTC-4,15,8,88.99999856948853
LTC-4,15,9,82.4999988079071
LTC-4,15,10,85.00000238418579
LTC-4,6,1,83.99999737739563
LTC-4,6,2,74.50000047683716
LTC-4,6,3,86.50000095367432
LTC-4,6,4,76.99999809265137
LTC-4,6,5,79.00000214576721
LTC-4,6,6,79.00000214576721
LTC-4,6,7,68.99999976158142
LTC-4,6,8,80.50000071525574
LTC-4,6,9,83.99999737739563
LTC-4,6,10,83.49999785423279
LTC-4,3,1,77.49999761581421
LTC-4,3,2,69.9999988079071
LTC-4,3,3,76.99999809265137
LTC-4,3,4,77.49999761581421
LTC-4,3,5,77.99999713897705
LTC-4,3,6,73.50000143051147
LTC-4,3,7,74.00000095367432
LTC-4,3,8,75.99999904632568
LTC-4,3,9,70.99999785423279
LTC-4,3,10,73.00000190734863
