"run","method","true_label","predicted_label","count","row_percent"
"3","BPTT checkpoint","Plush Toy","Smartphone","0","0.0"
"3","BPTT checkpoint","Plush Toy","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Plush Toy","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Plush Toy","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Baseball","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Bottle","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Tape","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Plush Toy","1","5.0"
"3","BPTT checkpoint","Optical Mouse","Optical Mouse","19","95.0"
"3","BPTT checkpoint","Optical Mouse","Smartphone","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Optical Mouse","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Optical Mouse","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Smartphone","Baseball","0","0.0"
"3","BPTT checkpoint","Smartphone","Bottle","0","0.0"
"3","BPTT checkpoint","Smartphone","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Smartphone","Tape","0","0.0"
"3","BPTT checkpoint","Smartphone","Plush Toy","0","0.0"
"3","BPTT checkpoint","Smartphone","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Smartphone","Smartphone","20","100.0"
"3","BPTT checkpoint","Smartphone","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Smartphone","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Smartphone","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Baseball","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Bottle","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Tape","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Plush Toy","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","Smartphone","1","5.0"
"3","BPTT checkpoint","Rubik's Cube","Rubik's Cube","19","95.0"
"3","BPTT checkpoint","Rubik's Cube","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","Rubik's Cube","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Baseball","3","15.0"
"3","BPTT checkpoint","Stuffed Ball","Bottle","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Sponge Dice","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Tape","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Plush Toy","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Optical Mouse","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Smartphone","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","Stuffed Ball","Stuffed Ball","17","85.0"
"3","BPTT checkpoint","Stuffed Ball","3D-Printed Part","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Baseball","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Bottle","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Sponge Dice","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Tape","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Plush Toy","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Optical Mouse","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Smartphone","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Rubik's Cube","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","Stuffed Ball","0","0.0"
"3","BPTT checkpoint","3D-Printed Part","3D-Printed Part","20","100.0"
"4","BPTT checkpoint","Baseball","Baseball","15","75.0"
"4","BPTT checkpoint","Baseball","Bottle","0","0.0"
"4","BPTT checkpoint","Baseball","Sponge Dice","0","0.0"
"4","BPTT checkpoint","Baseball","Tape","4","20.0"
"4","BPTT checkpoint","Baseball","Plush Toy","0","0.0"
"4","BPTT checkpoint","Baseball","Optical Mouse","0","0.0"
"4","BPTT checkpoint","Baseball","Smartphone","0","0.0"
"4","BPTT checkpoint","Baseball","Rubik's Cube","0","0.0"
"4","BPTT checkpoint","Baseball","Stuffed Ball","1","5.0"
"4","BPTT checkpoint","Baseball","3D-Printed Part","0","0.0"
"4","BPTT checkpoint","Bottle","Baseball","0","0.0"
