Model,Samples_Per_Class,Run,Accuracy
SimpleRNN-8,15,4,87.00000047683716
SimpleRNN-8,15,5,83.49999785423279
SimpleRNN-8,15,6,89.49999809265137
SimpleRNN-8,15,7,82.4999988079071
SimpleRNN-8,15,8,81.49999976158142
SimpleRNN-8,15,9,83.49999785423279
SimpleRNN-8,15,10,85.00000238418579
SimpleRNN-8,6,1,77.99999713897705
SimpleRNN-8,6,2,80.0000011920929
SimpleRNN-8,6,3,77.99999713897705
SimpleRNN-8,6,4,75.49999952316284
SimpleRNN-8,6,5,75.49999952316284
SimpleRNN-8,6,6,82.4999988079071
SimpleRNN-8,6,7,83.49999785423279
SimpleRNN-8,6,8,76.99999809265137
SimpleRNN-8,6,9,78.50000262260437
SimpleRNN-8,6,10,85.00000238418579
SimpleRNN-8,3,1,64.49999809265137
SimpleRNN-8,3,2,79.50000166893005
SimpleRNN-8,3,3,73.00000190734863
SimpleRNN-8,3,4,68.00000071525574
SimpleRNN-8,3,5,79.00000214576721
SimpleRNN-8,3,6,82.99999833106995
SimpleRNN-8,3,7,72.00000286102295
SimpleRNN-8,3,8,65.49999713897705
SimpleRNN-8,3,9,75.49999952316284
SimpleRNN-8,3,10,65.49999713897705
LSTM-8,60,1,90.49999713897705
LSTM-8,60,2,95.49999833106995
LSTM-8,60,3,95.49999833106995
LSTM-8,60,4,92.5000011920929
LSTM-8,60,5,93.99999976158142
LSTM-8,60,6,94.49999928474426
LSTM-8,60,7,92.5000011920929
LSTM-8,60,8,94.49999928474426
LSTM-8,60,9,92.5000011920929
LSTM-8,60,10,91.50000214576721
LSTM-8,30,1,93.50000023841858
LSTM-8,30,2,92.00000166893005
LSTM-8,30,3,89.99999761581421
LSTM-8,30,4,93.50000023841858
LSTM-8,30,5,91.50000214576721
LSTM-8,30,6,93.99999976158142
LSTM-8,30,7,92.5000011920929
LSTM-8,30,8,91.50000214576721
LSTM-8,30,9,85.00000238418579
LSTM-8,30,10,91.00000262260437
LSTM-8,15,1,86.00000143051147
LSTM-8,15,2,88.49999904632568
LSTM-8,15,3,87.5
LSTM-8,15,4,88.99999856948853
LSTM-8,15,5,87.5
LSTM-8,15,6,84.50000286102295
LSTM-8,15,7,89.99999761581421
LSTM-8,15,8,87.99999952316284
LSTM-8,15,9,86.50000095367432
LSTM-8,15,10,89.49999809265137
LSTM-8,6,1,81.99999928474426
LSTM-8,6,2,79.50000166893005
LSTM-8,6,3,83.99999737739563
LSTM-8,6,4,82.99999833106995
LSTM-8,6,5,87.99999952316284
LSTM-8,6,6,83.49999785423279
LSTM-8,6,7,73.00000190734863
LSTM-8,6,8,70.49999833106995
LSTM-8,6,9,81.49999976158142
LSTM-8,6,10,82.4999988079071
LSTM-8,3,1,76.99999809265137
LSTM-8,3,2,72.00000286102295
LSTM-8,3,3,66.50000214576721
LSTM-8,3,4,70.49999833106995
LSTM-8,3,5,71.49999737739563
LSTM-8,3,6,78.50000262260437
LSTM-8,3,7,74.50000047683716
LSTM-8,3,8,70.49999833106995
LSTM-8,3,9,62.5
LSTM-8,3,10,81.99999928474426
LTC-4,60,1,91.00000262260437
LTC-4,60,2,92.00000166893005
LTC-4,60,3,93.00000071525574
LTC-4,60,4,89.49999809265137
LTC-4,60,5,92.5000011920929
LTC-4,60,6,88.99999856948853
LTC-4,60,7,90.49999713897705
LTC-4,60,8,92.00000166893005
LTC-4,60,9,90.49999713897705
LTC-4,60,10,88.49999904632568
LTC-4,30,1,88.99999856948853
LTC-4,30,2,87.00000047683716
LTC-4,30,3,91.50000214576721
LTC-4,30,4,87.5
LTC-4,30,5,87.99999952316284
LTC-4,30,6,87.99999952316284
LTC-4,30,7,87.5
LTC-4,30,8,91.50000214576721
LTC-4,30,9,87.5
LTC-4,30,10,90.49999713897705
LTC-4,15,1,87.5
LTC-4,15,2,88.99999856948853
LTC-4,15,3,87.00000047683716
LTC-4,15,4,82.4999988079071
LTC-4,15,5,87.00000047683716
LTC-4,15,6,80.50000071525574
LTC-4,15,7,82.4999988079071
LTC-4,15,8,87.5
LTC-4,15,9,82.99999833106995
LTC-4,15,10,87.99999952316284
LTC-4,6,1,81.99999928474426
LTC-4,6,2,79.00000214576721
LTC-4,6,3,78.50000262260437
LTC-4,6,4,77.49999761581421
LTC-4,6,5,88.99999856948853
LTC-4,6,6,78.50000262260437
LTC-4,6,7,76.99999809265137
LTC-4,6,8,83.99999737739563
LTC-4,6,9,81.00000023841858
LTC-4,6,10,88.49999904632568
LTC-4,3,1,73.00000190734863
LTC-4,3,2,79.50000166893005
LTC-4,3,3,69.9999988079071
LTC-4,3,4,77.49999761581421
LTC-4,3,5,67.00000166893005
LTC-4,3,6,63.999998569488525
LTC-4,3,7,72.50000238418579
LTC-4,3,8,78.50000262260437
LTC-4,3,9,81.99999928474426
LTC-4,3,10,73.00000190734863
