Time_s,Index_ADC,Index_ADC_smoothed
1.17,729,728.2857142857143
1.18,728,728.2857142857143
1.19,728,728.2857142857143
1.2,729,728.4285714285714
1.21,728,728.2857142857143
1.22,728,728.2857142857143
1.23,729,728.4285714285714
1.24,728,728.2857142857143
1.25,728,728.2857142857143
1.26,729,728.2857142857143
1.27,728,728.2857142857143
1.28,728,728.2857142857143
1.29,728,728.4285714285714
1.3,729,728.2857142857143
1.31,728,728.2857142857143
1.32,729,728.4285714285714
1.33,728,728.4285714285714
1.34,728,728.4285714285714
1.35,729,728.4285714285714
1.36,728,728.4285714285714
1.37,729,728.4285714285714
1.38,728,728.5714285714286
1.39,729,728.5714285714286
1.4,728,728.5714285714286
1.41,729,728.5714285714286
1.42,729,728.7142857142857
1.43,728,728.7142857142857
1.44,729,728.8571428571429
1.45,729,728.8571428571429
1.46,729,729.0
1.47,729,729.2857142857143
1.48,729,729.4285714285714
1.49,730,729.7142857142857
1.5,730,730.1428571428571
1.51,730,730.7142857142857
1.52,731,731.5714285714286
1.53,732,732.5714285714286
1.54,733,733.7142857142857
1.55,735,735.2857142857143
1.56,737,737.0
1.57,738,738.8571428571429
1.58,741,741.1428571428571
1.59,743,743.4285714285714
1.6,745,745.7142857142857
1.61,749,748.4285714285714
1.62,751,751.0
1.63,753,753.7142857142857
1.64,757,756.5714285714286
1.65,759,759.2857142857143
1.66,762,762.1428571428571
1.67,765,765.0
1.68,768,767.7142857142857
1.69,771,770.4285714285714
1.7,773,773.1428571428571
1.71,776,775.7142857142857
1.72,778,778.1428571428571
1.73,781,780.4285714285714
1.74,783,782.7142857142857
1.75,785,784.8571428571429
1.76,787,787.0
1.77,789,789.0
1.78,791,791.0
1.79,793,793.0
1.8,795,795.0
1.81,797,796.8571428571429
1.82,799,798.8571428571429
1.83,801,800.8571428571429
1.84,802,802.7142857142857
1.85,805,804.5714285714286
1.86,807,806.4285714285714
1.87,808,808.2857142857143
1.88,810,810.1428571428571
1.89,812,811.8571428571429
1.9,814,813.5714285714286
1.91,815,815.4285714285714
1.92,817,817.2857142857143
1.93,819,819.0
1.94,821,820.7142857142857
1.95,823,822.1428571428571
1.96,824,823.2857142857143
1.97,826,824.1428571428571
1.98,825,824.8571428571429
1.99,825,825.4285714285714
2.0,825,825.8571428571429
2.01,826,825.8571428571429
2.02,827,826.2857142857143
2.03,827,826.7142857142857
2.04,826,827.5714285714286
2.05,828,828.4285714285714
2.06,828,829.2857142857143
2.07,831,830.1428571428571
2.08,832,831.2857142857143
2.09,833,832.1428571428571
2.1,833,833.0
2.11,834,833.4285714285714
2.12,834,834.4285714285714
2.13,834,835.2857142857143
2.14,834,836.2857142857143
2.15,839,837.5714285714286
2.16,839,838.8571428571429
2.17,840,840.2857142857143
2.18,843,842.0
2.19,843,843.1428571428571
2.2,844,844.4285714285714
2.21,846,845.4285714285714
2.22,847,846.1428571428571
2.23,848,846.8571428571429
2.24,847,847.5714285714286
2.25,848,848.0
2.26,848,848.4285714285714
2.27,849,848.7142857142857
2.28,849,849.1428571428571
2.29,850,849.5714285714286
2.3,850,850.1428571428571
2.31,850,850.5714285714286
2.32,851,851.0
2.33,852,851.4285714285714
2.34,852,851.8571428571429
2.35,852,852.4285714285714
2.36,853,852.8571428571429
2.37,853,853.2857142857143
2.38,854,853.7142857142857
2.39,854,854.2857142857143
2.4,855,854.7142857142857
2.41,855,855.1428571428571
2.42,856,855.5714285714286
2.43,856,856.0
2.44,856,856.2857142857143
2.45,857,856.5714285714286
2.46,857,856.8571428571429
2.47,857,857.1428571428571
2.48,857,857.5714285714286
2.49,858,857.8571428571429
2.5,858,858.1428571428571
2.51,859,858.4285714285714
2.52,859,858.7142857142857
2.53,859,859.0
2.54,859,859.2857142857143
2.55,859,859.4285714285714
2.56,860,859.5714285714286
2.57,860,859.8571428571429
2.58,860,860.1428571428571
2.59,860,860.4285714285714
2.6,861,860.5714285714286
2.61,861,860.8571428571429
2.62,861,861.1428571428571
2.63,861,861.4285714285714
2.64,862,861.5714285714286
2.65,862,861.8571428571429
2.66,862,862.0
2.67,862,862.2857142857143
2.68,863,862.4285714285714
2.69,862,862.5714285714286
2.7,863,862.7142857142857
2.71,863,862.8571428571429
2.72,863,863.0
2.73,863,863.1428571428571
2.74,863,863.1428571428571
2.75,864,863.2857142857143
2.76,863,863.4285714285714
2.77,863,863.5714285714286
2.78,864,863.7142857142857
2.79,864,863.8571428571429
2.8,864,864.1428571428571
2.81,864,864.2857142857143
2.82,865,864.4285714285714
2.83,865,864.5714285714286
2.84,864,864.7142857142857
2.85,865,864.8571428571429
2.86,865,864.8571428571429
2.87,865,864.8571428571429
2.88,865,865.0
2.89,865,865.0
2.9,865,865.0
2.91,865,865.1428571428571
2.92,865,865.2857142857143
2.93,865,865.2857142857143
2.94,866,865.2857142857143
2.95,866,865.2857142857143
2.96,865,865.2857142857143
2.97,865,865.2857142857143
2.98,865,865.2857142857143
2.99,865,865.2857142857143
3.0,865,865.4285714285714
3.01,866,865.4285714285714
3.02,866,865.4285714285714
3.03,866,865.5714285714286
3.04,865,865.8571428571429
3.05,865,865.8571428571429
3.06,866,865.8571428571429
3.07,867,865.8571428571429
3.08,866,866.0
3.09,866,866.1428571428571
3.1,866,866.1428571428571
3.11,866,866.1428571428571
3.12,866,866.1428571428571
3.13,866,866.1428571428571
3.14,867,866.1428571428571
3.15,866,866.1428571428571
3.16,866,866.2857142857143
3.17,866,866.2857142857143
3.18,866,866.1428571428571
3.19,867,866.2857142857143
3.2,866,866.4285714285714
3.21,866,866.5714285714286
3.22,867,866.7142857142857
3.23,867,866.7142857142857
3.24,867,866.8571428571429
3.25,867,867.0
3.26,867,867.0
3.27,867,867.0
3.28,867,867.0
3.29,867,867.0
3.3,867,867.0
3.31,867,867.0
3.32,867,867.0
3.33,867,867.0
3.34,867,867.0
3.35,867,867.0
3.36,867,867.0
3.37,867,867.1428571428571
3.38,867,867.1428571428571
3.39,867,867.1428571428571
3.4,868,867.1428571428571
3.41,867,867.1428571428571
3.42,867,867.2857142857143
3.43,867,867.2857142857143
